numero_grafo,exito,numero_nodos,numero_aristas,tiempoMS
grafo_1.txt,exito,5,14,8.1086
grafo_10.txt,exito,8,20,6.0097
grafo_100.txt,exito,18,34,11.8449
grafo_11.txt,exito,16,30,8.4502
grafo_12.txt,exito,16,42,11.6268
grafo_13.txt,exito,17,52,4.8229
grafo_14.txt,exito,15,42,4.3121
grafo_15.txt,exito,10,18,5.0628
grafo_16.txt,exito,9,16,2.8443
grafo_17.txt,exito,7,18,2.4578
grafo_18.txt,exito,10,26,2.8605
grafo_19.txt,exito,9,18,2.7069
grafo_2.txt,exito,9,24,2.6238
grafo_20.txt,exito,14,52,3.2763
grafo_21.txt,exito,16,32,5.6421
grafo_22.txt,exito,10,34,5.6140
grafo_23.txt,exito,14,34,6.7419
grafo_24.txt,exito,9,26,2.1539
grafo_25.txt,exito,15,36,11.3244
grafo_26.txt,exito,18,60,2.4615
grafo_27.txt,exito,7,12,9.6602
grafo_28.txt,exito,10,30,7.0172
grafo_29.txt,exito,10,36,4.4894
grafo_3.txt,exito,6,14,6.3956
grafo_30.txt,exito,9,22,2.9840
grafo_31.txt,exito,17,56,3.2502
grafo_32.txt,exito,9,22,2.3977
grafo_33.txt,exito,16,52,3.9052
grafo_34.txt,exito,8,14,4.5250
grafo_35.txt,exito,14,50,4.6594
grafo_36.txt,exito,16,32,6.1733
grafo_37.txt,exito,15,40,7.4445
grafo_38.txt,exito,16,52,5.0402
grafo_39.txt,exito,14,50,5.8635
grafo_4.txt,exito,12,22,10.3166
grafo_40.txt,exito,8,18,4.9029
grafo_41.txt,exito,17,54,4.9111
grafo_42.txt,exito,5,10,2.0487
grafo_43.txt,exito,16,44,7.7182
grafo_44.txt,exito,5,14,1.2608
grafo_45.txt,exito,17,32,13.8759
grafo_46.txt,exito,8,18,2.5285
grafo_47.txt,exito,7,22,2.8899
grafo_48.txt,exito,16,44,2.5904
grafo_49.txt,exito,12,34,2.6687
grafo_5.txt,exito,14,36,7.0758
grafo_50.txt,exito,13,26,2.9111
grafo_51.txt,exito,9,24,4.7864
grafo_52.txt,exito,17,46,2.6590
grafo_53.txt,exito,7,12,4.7456
grafo_54.txt,exito,15,44,6.5648
grafo_55.txt,exito,11,30,2.9060
grafo_56.txt,exito,16,36,4.1158
grafo_57.txt,exito,10,20,2.5414
grafo_58.txt,exito,10,30,2.4343
grafo_59.txt,exito,17,36,3.4713
grafo_6.txt,exito,13,26,2.9774
grafo_60.txt,exito,14,38,2.3275
grafo_61.txt,exito,15,44,5.2250
grafo_62.txt,exito,14,28,5.2673
grafo_63.txt,exito,9,16,5.7071
grafo_64.txt,exito,18,40,4.7883
grafo_65.txt,exito,10,22,2.5564
grafo_66.txt,exito,7,12,2.7273
grafo_67.txt,exito,18,38,2.7529
grafo_68.txt,exito,16,48,4.7351
grafo_69.txt,exito,10,28,4.8403
grafo_7.txt,exito,18,42,8.4863
grafo_70.txt,exito,14,46,7.4606
grafo_71.txt,exito,6,16,5.0079
grafo_72.txt,exito,9,24,4.5268
grafo_73.txt,exito,6,12,4.9972
grafo_74.txt,exito,6,18,2.9082
grafo_75.txt,exito,8,24,1.4962
grafo_76.txt,exito,14,48,3.2881
grafo_77.txt,exito,16,34,4.7653
grafo_78.txt,exito,6,10,1.9685
grafo_79.txt,exito,5,16,1.4312
grafo_8.txt,exito,10,20,3.0166
grafo_80.txt,exito,15,36,2.1752
grafo_81.txt,exito,10,30,3.7015
grafo_82.txt,exito,11,30,2.2236
grafo_83.txt,exito,12,26,2.9226
grafo_84.txt,exito,9,26,2.4805
grafo_85.txt,exito,7,12,2.1733
grafo_86.txt,exito,13,36,2.4203
grafo_87.txt,exito,8,20,2.4266
grafo_88.txt,exito,9,26,2.3982
grafo_89.txt,exito,14,46,2.3351
grafo_9.txt,exito,15,40,3.2217
grafo_90.txt,exito,13,32,2.7163
grafo_91.txt,exito,16,34,9.4022
grafo_92.txt,exito,6,10,1.8690
grafo_93.txt,exito,9,20,4.6047
grafo_94.txt,exito,18,56,3.5116
grafo_95.txt,exito,18,50,2.6753
grafo_96.txt,exito,10,20,2.6573
grafo_97.txt,exito,13,26,3.0363
grafo_98.txt,exito,12,32,2.2931
grafo_99.txt,exito,7,16,2.4913
